"id","outter_name"
"4637","极狐 阿尔法S"
"5326","奔驰纯电G级"
"6336","启辰大V DD-i"
"9100","阿斯顿·马丁DB12"
"9243","瑞风RF8 PHEV"
"9339","五菱荣光新卡EV"
"9505","五菱扬光"
"9690","翼真L380"
"24520","雷驰·仁T30"
"24639","V-900系列"
"24799","郑州日产Z9"
"25032","C 600"
"25061","挑战者"
"525","埃尔法"
"2938","Lorinser MS500L"
"3276","捷达VS7"
"4780","捷途X70 PLUS"
"6120","思皓X8 PLUS"
"6312","哪吒GT"
"9904","星际牛魔王"
"10221","远程幸福号"
"10230","阿维塔 06"
"24786","瑞虎7 C-DM"
"24990","公路拖挂"
"25214","艾瑞泽5 惠民版"
"2971","凯迪拉克XT4"
"3210","域虎EV"
"3390","北京X3"
"4791","菱智PLUS"
"5847","护卫舰07"
"6072","申龙地上铁510"
"6094","E全顺"
"9876","五菱E5"
"24667","LUMMA GT35"
"31","MG5"
"2963","奥迪Q2L"
"4623","宇通T7E"
"4646","翼放EC7"
"4783","长安UNI-K"
"5103","锐行者"
"6074","万象K01"
"8989","风神L7 PHEV"
"24743","长江6号"
"24869","克蒂山河"
"24988","潮VAN"
"25059","宾歌"
"213","奔驰C级PHEV"
"337","标致508L"
"473","东风小康K07S"
"573","途睿欧"
"653","哈弗H9"
"3503","AION LX"
"3713","锐骐6 EV"
"4425","探岳X"
"5893","大将军G9 SUV"
"9312","哪吒X"
"10177","岚图知音"
"25033","美式小拖挂"
"200","EH系列"
"355","飞驰"
"3441","新途V90"
"4426","AION V"
"4642","途观X"
"4759","领裕"
"6314","斯威大虎EDi"
"8895","小鹏G6"
"9201","龙耀8S"
"9427","祥菱Q"
"24552","蔚来ET5（曹卓然）"
"24615","远见"
"276","思域"
"4080","昂科旗"
"5873","金刚炮"
"6277","未奥BOMA"
"8896","英仕派 PHEV"
"24893","捷达VA7"
"25045","芒果方舱"
"571","福特F-150 Raptor"
"2375","江淮V7"
"2889","菲斯塔"
"3730","车驰Sprinter"
"3801","红旗H5 PHEV"
"5374","闪灵"
"5588","VGV U75"
"5897","星迈罗"
"895","雷克萨斯LX"
"5015","ZEEKR 001"
"5033","轩度"
"5283","领克09 EM-P"
"9288","申龙V6"
"1017","Ghibli"
"1870","思域(进口)"
"3124","东风小康D51"
"4299","上喆V级"
"4373","东风小康C52"
"6067","理想MEGA"
"8788","皓瀚"
"8790","大道 EV"
"8966","星纪元ET"
"9129","长安启源A05"
"9728","悍途EV"
"20032","瑞虎8L"
"24585","凯迪拉克CT5（刘阳）"
"24625","F-500系列"
"24925","星途揽月C-DM"
"777","星锐"
"3357","睿行M60"
"3932","奔驰EQB"
"4654","风行T5 EVO"
"5335","拿铁PHEV"
"6244","跨越王X3 EV"
"8796","领克08 EM-P"
"8978","顺威小卡"
"9154","星际EV"
"24949","芳语之韵系列"
"25021","C 610"
"3349","北京EU7"
"4092","傲旋"
"5565","斯威大虎"
"6121","奥迪SQ5 Sportback"
"8897","钇为3"
"9682","哪吒L"
"20067","开沃D10"
"24642","V-900系列"
"24741","宿营车系列"
"24998","无界"
"3383","DS 3 EV"
"4200","捷尼赛思GV70"
"5356","Polestar 3"
"6360","腾势N7"
"8849","风景智蓝G5"
"9642","长安启源E07"
"24611","宝骏享境EV"
"24674","鲲鹏系列"
"282","艾力绅"
"1281","沃尔沃S90"
"1604","伊兰特新能源"
"1616","蔚来ES8"
"1702","Mirai"
"1742","捷尼赛思G70"
"2875","英仕派"
"4156","领克05 EM-P"
"4391","e爱丽舍"
"5167","奔驰GLC轿跑 AMG"
"5454","捷尼赛思纯电GV70"
"10040","iCAR V23"
"24973","星雨系列"
"25250","豹5"
"1538","芝麻E30"
"4157","DS 9 PHEV"
"4562","龙耀8"
"4828","思皓X4"
"5223","赛那"
"5548","鲸卡T7"
"5808","大将军EV皮卡"
"9261","纳米01"
"24562","理想L6（李林煊）"
"24850","问界M8"
"25289","海豹06GT"
"81","奥迪S7"
"165","北京越野BJ80"
"223","奔驰CLS"
"1579","劲客"
"1605","伊兰特新能源"
"1621","传祺GS3"
"4569","凯捷Victory"
"4703","风光500"
"24898","IXEO"
"25049","中巴系列"
"470","东风小康C37"
"2167","嘉际"
"4363","Model Y"
"4537","航海家"
"5322","smart精灵#1"
"5474","瑞风E3"
"5820","问界M7"
"6033","艾瑞泽5 GT"
"9935","凯迪拉克CT5（张京凯）"
"1288","五菱荣光小卡"
"1603","伊兰特新能源"
"2794","瑞虎8"
"2962","五菱荣光新卡"
"4774","新龙马汽车启腾N50 EV"
"5817","吉利几何E萤火虫"
"6126","丰田bZ3"
"6303","高山"
"8987","广汽丰田铂智3X"
"9920","揽境(测试)"
"10162","红旗天工06"
"24622","启界"
"24746","梦享家"
"25264","思域"
"95","奥迪A3"
"2796","东风·瑞泰特EM30"
"4192","跨越者D5"
"4561","MG Cyberster"
"5067","EVOS"
"5122","创维EV6"
"9944","ZEEKR MIX"
"25161","领克900"
"54","斯威X3"
"1280","沃尔沃S60 PHEV"
"4174","北汽昌河EV5"
"6189","露营大师"
"6362","别克E4"
"6363","极狐 阿尔法T5"
"9242","长安启源Q05"
"9952","与众06"
"24688","URV"
"289","雅阁"
"1290","五菱宏光"
"1586","卡升V-Class"
"9783","悦01"
"24716","快运王EV1"
"25396","焜驰V级"
"594","风景G7"
"733","帝豪"
"1359","探界者"
"2867","奔腾T77"
"3527","帕里斯帝"
"3718","依维柯欧胜EV"
"4690","东风小康C56"
"6080","吉利几何G6"
"6191","骆驼"
"9812","卡拉"
"10124","五菱星光S PHEV"
"10171","腾势Z9GT DM"
"1183","荣威eRX5"
"1503","风骏5"
"1644","北汽007"
"3359","微蓝6"
"5048","凡尔赛C5 X"
"5298","电动屋YOUNG光小新"
"5480","卡漠兹系列"
"20052","凌际卫士"
"24658","开拓者系列"
"24727","高尔夫GTI"
"24971","寻秘山海系列"
"25092","E顺达"
"219","奔驰B级"
"834","九龙A6"
"1151","奇骏"
"1232","OUTBACK傲虎"
"2820","风行T5"
"3162","勇猛者"
"3935","奔驰GLB AMG"
"5171","奔驰EQS AMG"
"6359","红旗HS3"
"9922","凯迪拉克CT5（李要龙）"
"25001","进口车系列"
"195","EC系列"
"436","风光580"
"4245","奥迪RS Q8"
"4858","羿"
"5008","海豚"
"9958","星海S7"
"20090","狙击手"
"24638","V-900系列"
"24652","V-900系列"
"24972","东风猛士"
"25204","速腾"
"155","Cayenne"
"385","途锐"
"831","金旅大海狮"
"1738","瑞虎5x"
"4300","汉EV"
"5009","AMG GT PHEV"
"5172","Cayenne Coupé"
"5579","海豹"
"5918","C530系列"
"6252","超级VAN"
"9156","东风小康EC36Ⅱ"
